"maxclustersize","ntips","nhybrids","Network","level","treechild","name"
3,15,1,"simulated",1,TRUE,"sim_1"
3,19,1,"simulated",1,TRUE,"sim_2"
3,39,6,"simulated",4,TRUE,"sim_3"
6,48,13,"simulated",12,FALSE,"sim_4"
5,34,6,"simulated",6,FALSE,"sim_5"
8,55,19,"simulated",19,FALSE,"sim_6"
14,102,40,"simulated",40,FALSE,"sim_7"
3,37,2,"simulated",1,TRUE,"sim_10"
4,24,4,"simulated",4,TRUE,"sim_11"
4,23,5,"simulated",5,FALSE,"sim_12"
7,83,17,"simulated",17,FALSE,"sim_14"
3,27,3,"simulated",2,TRUE,"sim_16"
6,48,9,"simulated",9,TRUE,"sim_17"
6,56,12,"simulated",12,FALSE,"sim_18"
3,28,1,"simulated",1,TRUE,"sim_19"
3,16,1,"simulated",1,TRUE,"sim_20"
5,60,8,"simulated",8,FALSE,"sim_21"
14,117,36,"simulated",35,FALSE,"sim_22"
3,24,2,"simulated",1,TRUE,"sim_23"
3,23,2,"simulated",1,TRUE,"sim_24"
5,48,8,"simulated",8,TRUE,"sim_25"
3,29,4,"simulated",2,TRUE,"sim_26"
3,21,1,"simulated",1,TRUE,"sim_28"
9,81,23,"simulated",23,FALSE,"sim_29"
3,11,2,"simulated",2,TRUE,"sim_31"
3,23,2,"simulated",2,TRUE,"sim_32"
6,68,15,"simulated",14,FALSE,"sim_33"
3,32,3,"simulated",3,TRUE,"sim_37"
3,23,3,"simulated",1,FALSE,"sim_40"
5,42,5,"simulated",5,TRUE,"sim_41"
6,68,14,"simulated",12,FALSE,"sim_43"
4,45,3,"simulated",2,FALSE,"sim_44"
3,16,1,"simulated",1,TRUE,"sim_45"
5,38,11,"simulated",11,FALSE,"sim_46"
3,28,1,"simulated",1,TRUE,"sim_48"
16,136,41,"simulated",41,FALSE,"sim_49"
4,59,7,"simulated",7,TRUE,"sim_50"
4,37,3,"simulated",3,FALSE,"sim_52"
4,58,5,"simulated",5,TRUE,"sim_55"
12,110,32,"simulated",32,FALSE,"sim_60"
4,75,8,"simulated",8,FALSE,"sim_62"
4,90,9,"simulated",8,FALSE,"sim_63"
5,81,11,"simulated",11,FALSE,"sim_64"
4,41,3,"simulated",3,TRUE,"sim_66"
3,34,2,"simulated",2,TRUE,"sim_67"
3,42,1,"simulated",1,TRUE,"sim_68"
3,31,3,"simulated",3,TRUE,"sim_71"
3,36,3,"simulated",2,TRUE,"sim_72"
4,15,2,"simulated",2,TRUE,"sim_74"
3,16,2,"simulated",1,TRUE,"sim_75"
15,143,44,"simulated",44,FALSE,"sim_76"
4,32,5,"simulated",5,TRUE,"sim_77"
3,19,2,"simulated",1,TRUE,"sim_79"
4,54,7,"simulated",7,TRUE,"sim_80"
3,30,1,"simulated",1,TRUE,"sim_81"
6,74,10,"simulated",10,FALSE,"sim_84"
3,15,1,"simulated",1,TRUE,"sim_85"
5,65,10,"simulated",10,FALSE,"sim_86"
4,65,7,"simulated",7,TRUE,"sim_88"
3,16,1,"simulated",1,TRUE,"sim_92"
