posvar,posmean,norm,fenergy
949.2997535817653,-1.2989190420492853e-8,-470789.86817460984,-1068.886472454121
1242.267450221978,-6.970385235013455e-6,-6.033841261534232e10,-440.8435689051057
1324.0501176717376,-0.0004946245620123325,-7.733212314468702e15,-225.57449418249143
1495.009360852136,-0.00809208915400696,-9.911194230715679e20,-190.18040366589184
1520.448624766914,-0.07255104686302517,-1.2702582973854435e26,-153.33703573817797
1702.9754740464787,-0.20287498842567483,-1.6280138442610793e31,-122.74937336753692
1856.6865278501482,-0.48597779464364604,-2.0865276633587696e36,-108.08388541708837
2141.0401026782906,-1.2014955932039453,-2.6741773144671336e41,-105.793077886113
2462.007787872772,-2.9309125251867547,-3.427332613313654e46,-103.107123290363
2830.000189970298,-7.469553329604346,-4.3926065705273106e51,-102.76213949462385
3979.049298123849,-21.40648532823107,-5.629740285050633e56,-100.8859204805724
5319.05505664846,-53.227015826795,-7.215300338932299e61,-95.82312616863237
7176.922141740614,-119.78823270373829,-9.247417526389178e66,-90.31064096664568
10630.136007608922,-280.04443172203503,-1.1851860198521416e72,-87.28163900846994
15106.749894585764,-560.6497361518886,-1.5189818104833003e77,-87.9023646118801
22259.23625073682,-1157.6102806440426,-1.9467878475878198e82,-91.787103885526
29989.084906699707,-1772.2643100629214,-2.4950811769824467e87,-103.24577333655247
40200.83920279005,-2510.037126033154,-3.197795839667785e92,-128.2176255823524
48897.121209164034,-2629.9490394325358,-4.098423059951821e97,-169.4846874343118
58240.04501582682,-2075.269961346524,-5.252702930556642e102,-223.9984429720655
66682.25979505175,-884.2652225813249,-6.732074183918624e107,-277.9354704183345
74594.71722191473,1231.6420465914246,-8.628095557077464e112,-305.44681084112017
81392.4624175098,3645.705054434879,-1.1058112389772755e118,-283.30746025303097
87553.64817560859,6295.5873336127315,-1.4172519163228356e123,-222.16217458881374
92947.58591410976,8186.596928618773,-1.8164067460359988e128,-219.20524328808665
98040.82088959558,8877.057072606953,-2.32797954198958e133,-479.46310549197256
102702.77610319255,7981.325372576569,-2.983631700195525e138,-1243.5418227065898
107145.28636527371,5367.721475524948,-3.823941732238598e143,-2548.4914585889346
111278.35493445986,1512.2776622501606,-4.900916681706278e148,-3962.6234367773714
115397.71023734876,-3502.6653739800036,-6.281210855942048e153,-4662.079993336263
119476.29773916127,-9179.739472021049,-8.050251081409564e158,-3984.898018323928
123447.51053285114,-14843.673687101314,-1.0317523795977756e164,-2429.4727468906976
127208.04818751597,-19610.496515845076,-1.3223351197876926e169,-2141.5801591049512
130857.70952508102,-22117.46636665204,-1.694757582924702e174,-6079.004734702956
134373.2193021332,-21164.088281743152,-2.172069108579616e179,-15729.067346394451
137699.16017405366,-16091.917746802317,-2.783810652319982e184,-28623.25997436499
140798.10217482757,-6561.308803739228,-3.5678430844393715e189,-38222.446309531966
143737.04532247776,6824.827906533306,-4.5726904107408797e194,-37704.3437792108
